,id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media,geometry
0,53768680009,65535,1842a8743f,Italian coffee,shallowdof dof venice espresso coffee piazza scavenger16,110,Drinking an espresso in Venice   All New Scavenger Hunt 130 - 16. Bokeh or shallow DoF,2024-06-01 11:59:18,45.434480,12.346825,https://live.staticflickr.com/65535/53768680009_1842a8743f_m.jpg,Christine Schmitt,48289187@N00,photo,POINT (12.346825 45.43448)
1,48812576938,65535,da2f0ba179,Fondamenta Misericordia,xt2 xf1655mmf28rlmwr venedig urban city architecture culture history visit travel street reise urlaub vacance holidays walkaround spaziergang architektur geschichte venezia boat espresso cannaregio canale venice veneto italy,625,"morning scenery with boat with flag after having an espresso at Fondamenta Misericordia, Venice/Italy",2019-06-05 09:26:22,45.444633,12.331566,https://live.staticflickr.com/65535/48812576938_da2f0ba179_m.jpg,macplatti,83377834@N00,photo,POINT (12.331566 45.444633)
2,18959778856,489,717e067e1f,Savoring Espresso in Venice,italy venice espresso venezia,75,Venice Italy,2015-06-11 09:12:48,45.440299,12.321977,https://live.staticflickr.com/489/18959778856_717e067e1f_m.jpg,grits2go,87922801@N08,photo,POINT (12.321977 45.440299)
3,17299673636,8824,6817f5d473,€1 espresso at the train station,railroad venice italy coffee espresso venezia stazione santalucia ferrovia railroadstation,263,,2015-04-22 11:03:12,45.440986,12.320613,https://live.staticflickr.com/8824/17299673636_6817f5d473_m.jpg,mhaithaca,79715083@N00,photo,POINT (12.320613 45.440986)
4,15120603643,3956,3155006d65,Al banco,venice friends italy reflection cup coffee bar italia spoon ve espresso reflexions venezia caffè tazzina sanmarco italië riflesso tazza cucchiaino koffie weerspiegeling veneto kopje venetië lepeltje bellitalia,2456,,2014-06-07 18:12:20,45.434061,12.336330,https://live.staticflickr.com/3956/15120603643_3155006d65_m.jpg,Ciao Anita!,31683446@N02,photo,POINT (12.33633 45.434061)
5,13953143392,5556,98db3f7ba2,Faema E61 vintage model,venice italy espresso venedig 2014 faema nikond3100 paddybb,1624,"Venice, italy, 2014",2014-04-18 16:47:16,45.432518,12.353287,https://live.staticflickr.com/5556/13953143392_98db3f7ba2_m.jpg,paddy_bb,111463580@N03,photo,POINT (12.353287 45.432518)
6,9535237791,3773,a4ba81dbb2,Venice 2013,venice cup coffee mug espresso,252,,2013-08-18 13:53:26,45.443693,12.330501,https://live.staticflickr.com/3773/9535237791_a4ba81dbb2_m.jpg,burntime,92871903@N00,photo,POINT (12.330501 45.443693)
7,7108407977,7199,98453fac77,Breakfast - Venice IT,venice italy croissant espresso,321,,2012-04-08 16:26:21,45.437354,12.341047,https://live.staticflickr.com/7199/7108407977_98453fac77_m.jpg,houstonfoodie,33150334@N02,photo,POINT (12.341047 45.437354)
8,5489280224,5051,c8b132cc5b,,venice cup coffee breakfast bar break sugar espresso venezia macchiato caffe zucchero,119,,2009-11-10 08:46:07,45.434207,12.323248,https://live.staticflickr.com/5051/5489280224_c8b132cc5b_m.jpg,mamepri,59118230@N07,photo,POINT (12.323248 45.434207)
9,5453286531,5093,87df1220c2,Espresso @ Rosa Salva,espresso rosasalva foodspotting foodspotting:place=125444 foodspotting:review=359779,126,Spotted on Foodspotting,2011-02-17 14:22:44,45.437580,12.335760,https://live.staticflickr.com/5093/5453286531_87df1220c2_m.jpg,denisacatauassu,34633653@N03,photo,POINT (12.33576 45.43758)
10,4432727885,4047,4cb318232f,Coffee Break,venice cup coffee chocolate espresso caffèflorian,705,"Caffè Florian on St. Mark's Square in Venice has a shop where you can buy coffee, chocolates, perfume, jewelry, porcelain. When you have coffee at Caffè Florian, they always add a little treat with the espresso or cappucino. <a href=""http://bighugelabs.com/onblack.php?id=4432727885&amp;bg=white&amp;size=large"" rel=""nofollow"">View Extra Large On White</a>",2010-03-14 17:28:41,45.433646,12.338451,https://live.staticflickr.com/4047/4432727885_4cb318232f_m.jpg,Gato-Azul,23804856@N04,photo,POINT (12.338451 45.433646)
11,3317236211,3553,eee2390a8c,Espresso,venice italy cup coffee restaurant italian italia espresso venezia anticomartini,1662,"A cup of espresso, as served by the Antico Martini restaurant in the San Marco section of Venice in the shadow of the Teatro La Fenice.",2009-02-28 08:20:35,45.433883,12.333274,https://live.staticflickr.com/3553/3317236211_eee2390a8c_m.jpg,Kevin H.,16151021@N00,photo,POINT (12.333274 45.433883)
12,3497204005,3325,abd2379742,afternoon delight,venice italy reflection cup coffee prime java bokeh cyan ef50mmf14 espresso fiddy coffeebreak americano,637,"Venice, Italy.",2009-04-07 21:41:07,45.433846,12.342420,https://live.staticflickr.com/3325/3497204005_abd2379742_m.jpg,Christopher Empson,29847315@N00,photo,POINT (12.34242 45.433846)
13,3317236211,3553,eee2390a8c,Espresso,venice italy cup coffee restaurant italian italia espresso venezia anticomartini,1662,"A cup of espresso, as served by the Antico Martini restaurant in the San Marco section of Venice in the shadow of the Teatro La Fenice.",2009-02-28 08:20:35,45.433883,12.333274,https://live.staticflickr.com/3553/3317236211_eee2390a8c_m.jpg,Kevin H.,16151021@N00,photo,POINT (12.333274 45.433883)
14,2768150598,3208,944f7f5cff,DSC_1172,venice italy cafe espresso roadtrip08,67,Espresso in Venice,2008-08-02 16:33:33,45.430506,12.328569,https://live.staticflickr.com/3208/2768150598_944f7f5cff_m.jpg,DaveHorrigan,89625791@N00,photo,POINT (12.328569 45.430506)
15,1837572336,2366,d15b6dd143,breakfast of champions,venice italy cafe espresso venezia,261,,2007-10-01 00:00:00,45.438882,12.334996,https://live.staticflickr.com/2366/1837572336_d15b6dd143_m.jpg,mcshan,47446040@N00,photo,POINT (12.334996 45.438882)
16,310253030,110,851c69b8d3,"coffee, by www.marcomarella.com",venice black art cup coffee café illustration painting java kaffee bean arabic espresso lettering florian caffeine cappuccino caffè tazzina kaffe 作品 blend cafè 咖啡 caffettiera coffeemaker starbuck tazza nespresso 艺术 コーヒー 设计 кофе nescafè 커피 marella القهوة कॉफी 意大利语,23572,"i am a freelance illustrator, please visit my websites: 我是一名自由插画，请访问我的网站, 谢谢！:  <a href=""http://www.marcomarella.com"" rel=""nofollow"">www.marcomarella.com</a>  s'il vous plaît visitez mon site web:  <a href=""http://www.ultra-book.com/-marcomarella"" rel=""nofollow"">www.ultra-book.com/-marcomarella</a>  all my work is copyrighted! i am represented in US by  <a href=""http://www.lillarogers.com/contact"" rel=""nofollow"">www.lillarogers.com/contact</a>",2006-11-30 14:44:09,45.441720,12.341718,https://live.staticflickr.com/110/310253030_851c69b8d3_m.jpg,marcom X,15257460@N00,photo,POINT (12.341718 45.44172)
17,310252792,117,59a091e60e,Coffee Maker,italy coffee café illustration italian habit lifestyle espresso caffeine cappuccino maker caffè moka caffettiera prejudice behaviour marella,2381,"<a href=""http://www.marcomarella.com"">www.marcomarella.com</a>",2006-11-30 14:43:40,45.441720,12.341718,https://live.staticflickr.com/117/310252792_59a091e60e_m.jpg,marcom X,15257460@N00,photo,POINT (12.341718 45.44172)
